random_seed,requested_duration_s,campaign,boundary_label,altitude_gain_scale,protection_low_m_s,dive_slope,physical_mass_scale,actual_thrust_scale,failure_mode,time_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction,cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.78197544786098,7.300942050802551,7.4126519232989825,0.0,0.4772809887313704,0.0,0.0,2.0,10,60.0,15,3.75,0,3.0659276772400594,0.6447855590904684,3.065293268147965,5.019222034890343,1.8603521431023284,0.2974057106257455,0.06627358933048151,3.9902737615486155,0.052649665041493834,0.32157783887484226,4.188552246593023,1.4280565011100315
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.0063699760305,7.460732093849759,7.257945188330894,0.0,0.48964013086150493,0.0,0.0,2.0,11,60.0,15,3.75,0,3.043947549097131,0.6874872367715165,2.9094582077184374,4.863580144350893,1.8473005278363899,0.3540511466170406,0.06592790622121616,4.548088603371248,0.06045684138226205,0.2898650662349152,4.103410585085613,1.4522301712184607
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.68481887329877,7.851610020227619,7.205969685808458,0.0,0.4914576517629953,0.0,0.0,2.0,12,60.0,15,3.75,0,2.9988243590489168,0.6776010781606365,2.8420345493430172,4.7968182412696265,1.8620140712027298,0.35464534847386886,0.06527407704739453,4.6863227333968975,0.06815294053044922,0.3030470791558441,3.95091798696667,1.4170355867813895
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.31964277036236,7.238486149154105,7.531035001347962,0.0,0.48964013086150493,0.0,0.0,2.0,13,60.0,15,3.75,0,2.8927424276290585,0.6016836953997734,2.7257410172383336,4.676504705375836,1.9301695380546726,0.30204010779606033,0.06258078308375867,4.731953134052932,0.0507171319312291,0.29305038635192376,3.9447136158850062,1.4656254103938693
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.102668461887745,8.072336299922597,7.220041248454485,0.0,0.48745910577971646,0.0,0.0,2.0,14,60.0,15,3.75,0,3.0695856757312225,0.6801962047072604,2.935013195711915,4.891851121199805,1.8603569632860586,0.3470926352584102,0.06492394526159549,4.2685017141274795,0.06515629612812958,0.30190902616838744,3.9624706899223114,1.4287107919669706
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.13672275088498,7.163127790042596,7.213284740455938,0.0,0.48745910577971646,0.0,0.0,2.0,15,60.0,15,3.75,0,3.06773834592436,0.7127021213534803,2.9375976355775655,4.892136882142695,1.8219493982954271,0.37053847715077914,0.06680778830559155,4.5652735761584315,0.060716124154179485,0.2821920820822479,4.228529410068424,1.4492631579477007
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.70942124256148,7.509286119902292,7.326572018608659,0.0,0.49182115594329334,0.0,0.0,3.0,0,60.0,15,3.75,0,2.993678132177928,0.6522372792266214,1.8603106154354836,4.78713942431399,1.8789206335457704,0.3341385035478342,0.065,4.7,0.06,0.3,4.0,1.4288992721907328
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.1210819652148,7.55887021892861,7.458015504995188,0.0,0.48964013086150493,0.0,0.0,3.0,1,60.0,15,3.75,0,3.058063947761476,0.6323030178957713,1.9406876183349835,4.86568462788062,1.8905252290658585,0.29408524582815376,0.06577673839752203,4.570952355386659,0.0551469765634464,0.33000624819513635,3.9705706040793256,1.4182988268893335
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.1342000997814,7.303835195559807,7.227576581692096,0.0,0.4870956015994184,0.0,0.0,3.0,2,60.0,15,3.75,0,3.0719686249733527,0.6738556006832177,1.959256762431489,4.894758208011876,1.8644147844229562,0.33580607867997814,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.3114338956812706,4.134814580815061,1.44120695245206
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.70435339712717,6.81684729817025,7.37871842364756,0.0,0.4910941475826972,0.0,0.0,3.0,3,60.0,15,3.75,0,2.985077409166734,0.6474158987550124,1.8532941299536543,4.782818661751299,1.8915366413827939,0.3282583142504002,0.06268446121923109,4.336350357380637,0.05515479194800862,0.2820106664684216,4.17178330111812,1.4246835883790174
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.04812191152726,8.567617446489747,7.31479777444301,0.0,0.4881861141403126,0.0,0.0,3.0,4,60.0,15,3.75,0,3.0549060659902305,0.6514718026985705,1.9399218098916329,4.872934387605281,1.881143127650828,0.3263104411360807,0.06381785595855352,4.180630719342732,0.059804869770326875,0.30111774343157194,3.8014708311273617,1.422012753510219
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.26198159976137,7.61592818764545,7.328030498122155,0.0,0.49036713922210107,0.0,0.0,3.0,5,60.0,15,3.75,0,2.897776032039613,0.6235875781029795,1.7583084515544782,4.687590379862461,1.9152587667218872,0.3226598870514286,0.0624217189570092,4.63370430103694,0.06530633920429904,0.3086503437550528,3.8808036451019428,1.390010992718187
