random_seed,requested_duration_s,fault,fault_activation_time_s,initial_altitude_m,altitude_at_activation_m,airspeed_at_activation_m_s,roll_at_activation_deg,pitch_at_activation_deg,waypoint_at_activation,failure_mode,time_to_failure_s,time_from_fault_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction,cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
7,60.0,disabled_altitude_feedback,20.0,20.0,10.589832062660479,3.9358921998236207,-3.8612969319717636,4.597610235740569,1,none,,,36.36375454002361,7.469529676144167,9.157041069567986,0.0,0.4860050890585242,0.0,0.0,4.0,2,60.0,15,3.75,1,2.9532300053690257,7.306472074511015,0.8033247214237541,4.667244614662059,5.8252889184896794,0.2334785512201108,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.3114338956812706,4.134814580815061,1.44120695245206
7,60.0,disabled_altitude_feedback,20.0,20.0,10.994033627809431,3.8818756402819443,-2.0793452868541755,3.3567707979003187,1,none,,,35.92615834163587,6.9788885506458485,9.079464997448545,0.0,0.47546346782988,0.0,0.0,4.0,3,60.0,15,3.75,1,2.926391207209425,7.637072178854633,0.7180824068751875,4.563200542349633,6.561086128330085,0.2230973767533726,0.06268446121923109,4.336350357380637,0.05515479194800862,0.2820106664684216,4.17178330111812,1.4246835883790174
7,60.0,disabled_altitude_feedback,20.0,20.0,10.775407741618936,3.9144142606533974,-3.8805513166554335,4.7559817687496055,1,none,,,36.30823862438953,8.732269848775735,9.17773853392973,0.0,0.48491457651763,0.0,0.0,4.0,4,60.0,15,3.75,1,2.9422499004091427,7.450640882789178,0.7910369511820873,4.650225396014995,6.037214858632854,0.22409317593433917,0.06381785595855352,4.180630719342732,0.059804869770326875,0.30111774343157194,3.8014708311273617,1.422012753510219
7,60.0,disabled_altitude_feedback,20.0,20.0,11.139544660315092,3.9338134573295824,0.3363417810811105,2.316132813625759,1,none,,,35.60959788683,7.784543976425052,8.811693413059443,0.0,0.46673936750272627,0.0,0.0,4.0,5,60.0,14,3.5,1,2.8698460330776423,7.87351172580679,0.660872301402589,4.48893432781896,7.0747707271602565,0.22946297133612256,0.0624217189570092,4.63370430103694,0.06530633920429904,0.3086503437550528,3.8808036451019428,1.390010992718187
7,60.0,disabled_altitude_feedback,20.0,20.0,10.764998708998906,3.908256967346161,-3.9586097173716643,4.85317231969428,1,none,,,36.371826983784295,7.573306357798994,9.209872011495781,0.0,0.4856415848782261,0.0,0.0,4.0,6,60.0,15,3.75,1,2.953318309998116,7.423079413929595,0.8041411888491714,4.659398090599017,5.961889279025042,0.2238103570624625,0.06515637336675334,4.342580092232875,0.056498397403540186,0.2971682681197388,4.097035513386014,1.428497097086861
7,60.0,disabled_altitude_feedback,20.0,20.0,10.754505104044743,3.8955559293252255,-4.109484662682059,4.90525925869637,1,none,,,36.455824774085414,9.323589728822467,9.211133616348981,0.0,0.48964013086150493,0.0,0.0,4.0,7,60.0,15,3.75,1,2.952539640673886,7.398327764129487,0.8268168738576808,4.674299744699425,5.894144372381126,0.2356100344610662,0.06848455963844179,4.77649654918772,0.05932978830249504,0.3102436540079281,3.701137032373826,1.4134153665088793
7,60.0,disabled_altitude_feedback,20.0,20.0,11.105455888052903,3.948910425351659,0.3037859781225933,2.255484991852534,1,none,,,35.71664284005358,7.7305795263834,8.857296021246764,0.0,0.4692838967648128,0.0,0.0,4.0,8,60.0,14,3.5,1,2.882547589256806,7.8100224427031035,0.6817130092177356,4.5095339194193205,6.930411873272633,0.23086201341082022,0.06372026305176655,4.744203806428032,0.06066278485949688,0.2990022401977588,3.930524520257145,1.4696048105776907
7,60.0,disabled_altitude_feedback,20.0,20.0,11.104768445086123,3.9021501820468982,-0.6497504313458764,2.6057318177326763,1,none,,,35.805287673874645,7.435534086514086,8.944923535677255,0.0,0.4714649218466012,0.0,0.0,4.0,9,60.0,14,3.5,1,2.891385989838045,7.825201627229685,0.6921741773949814,4.522929404753159,6.972460765509462,0.2204986627790239,0.06338676526046816,4.647285473614353,0.060382690645530375,0.31000871341251496,3.9854069611494864,1.4516963615488432
7,60.0,disabled_altitude_feedback,20.0,20.0,10.427256230069874,4.2631890141820055,-6.038733009768682,6.982415066898123,1,none,,,37.12128386233056,7.450825313937868,9.300111912147216,0.0,0.4921846601235914,0.0,0.010905125408942203,4.0,10,60.0,15,3.75,1,3.05182009080724,7.259082966462247,0.9692431983733857,4.8372513234355585,5.529727062815961,0.2021738799605008,0.06627358933048151,3.9902737615486155,0.052649665041493834,0.32157783887484226,4.188552246593023,1.4280565011100315
7,60.0,disabled_altitude_feedback,20.0,20.0,10.741578718178012,3.8972137816825527,-3.1197082535171177,3.8998387262511973,1,none,,,36.187933195006366,7.623738506238798,9.132084010509988,0.0,0.4820065430752454,0.0,0.0,4.0,11,60.0,15,3.75,1,2.9448307110167513,7.373281203086867,0.7744975372064467,4.625592298916782,5.9703602390327575,0.24266355044275728,0.06592790622121616,4.548088603371248,0.06045684138226205,0.2898650662349152,4.103410585085613,1.4522301712184607
