cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad,random_seed,requested_duration_s,screen_parameter,component,nominal_value,scale,applied_value,failure_mode,time_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction
4.0,2,1.28,1,0.25,0,0.8189711649227241,1.4729769225702158,1.202180461379142,4.874615141324287,-0.04507287001724766,0.43857870067023186,0.06428724157605824,4.838135458152227,0.04859266356119493,0.2622486043376923,4.159134793507912,1.386136756807275,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.25,0.08726646259971647,sustained_stall,0.0,5.4743391688146295,36.87933915125419,18.077717470509892,0.9387755102040817,0.16326530612244897,0.0,0.0
4.0,3,1.28,1,0.25,0,0.7646674880118036,1.496935551701128,1.2728833740445942,4.8465879007656225,-0.06766042995932595,0.44535712256050025,0.06268446121923109,4.800642136301137,0.052262773561290145,0.2919196065623004,3.8788697987002156,1.4315570676173444,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.25,0.08726646259971647,sustained_stall,0.0,6.218983226985669,36.87448395981755,19.257870003335285,0.8571428571428571,0.14285714285714285,0.0,0.0
4.0,4,1.28,1,0.25,0,0.8003370319673645,1.4924056621985318,1.28755061263602,4.903307042778225,-0.06725047104108814,0.4416217511159212,0.06381785595855352,4.729726818217408,0.048949589773249605,0.2992724858189839,3.995121744258172,1.4763311575159435,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.25,0.08726646259971647,sustained_stall,0.0,8.980479834964582,36.440854500162004,18.603839969648305,0.8979591836734694,0.16326530612244897,0.0,0.0
4.0,5,1.3,1,0.25,0,0.8745234253773646,1.4851398890090683,1.266482617420447,4.92982105537463,-0.05527402739256067,0.43932992718731667,0.0624217189570092,4.437608011392286,0.058589453213551905,0.3016996347900496,4.132658480107476,1.3748937349146328,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.25,0.08726646259971647,sustained_stall,0.0,7.535623819257978,35.535283917947545,17.67935347479248,0.9387755102040817,0.20408163265306123,0.0,0.0
4.0,6,1.24,1,0.25,0,0.7079536259355235,1.457030435486375,1.2158933700139611,4.813855376539425,-0.017462536883274593,0.440082288431261,0.06515637336675334,4.691750986065357,0.052395321111337774,0.27704796351741906,3.9124599350885045,1.458897387071965,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.25,0.08726646259971647,sustained_stall,0.0,4.817046098621141,37.851616819844544,19.463571711820087,0.9361702127659575,0.10638297872340426,0.0,0.0
4.0,7,1.24,1,0.25,0,0.751246451016089,1.4838016854045513,1.2891651682910839,4.90943700312207,-0.0726187135522012,0.4385440983661363,0.06848455963844179,4.896075500837238,0.06162758615293021,0.29283370085949106,3.9832447075623763,1.4330655136385633,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.25,0.08726646259971647,sustained_stall,0.0,5.074874048015597,37.76637947841638,19.23256508720568,0.9574468085106383,0.1276595744680851,0.0,0.0
4.0,0,60.0,16,4.0,0,3.163951356211474,0.6583393588999069,1.5856289826319148,5.416510697119138,1.1105635635439717,0.4537293251705952,0.065,4.7,0.06,0.3,4.0,1.4288992721907328,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.5,0.17453292519943295,none,,40.98045808779331,29.353060324670214,18.664217887762916,0.09487459105779716,0.4830970556161396,0.0,0.0
4.0,1,60.0,17,4.25,0,3.2375412939164785,0.6619143379534094,1.6527893657699915,5.49129588596442,0.679269667215441,0.45671480079143234,0.06577673839752203,4.525026078250777,0.057254305433758694,0.29719603583055065,3.87867441408616,1.431125676117762,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.5,0.17453292519943295,none,,42.06490109486434,29.467015530482612,18.399703302124074,0.09487459105779716,0.4860050890585242,0.0,0.0
4.0,2,60.0,16,4.0,0,3.086339518028835,0.6757348820346025,1.5811962086157694,5.390329222361047,1.2491339981860823,0.47522830200086136,0.06428724157605824,4.838135458152227,0.04859266356119493,0.2622486043376923,4.159134793507912,1.386136756807275,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.5,0.17453292519943295,none,,41.02794116392474,30.646206924870913,19.24689566459328,0.09596510359869138,0.47909850963286077,0.0,0.0
4.0,3,60.0,16,4.0,0,3.0490058951783245,0.6908414050549825,1.5288490704600401,5.32950493616835,0.9989402886660681,0.4219256937916742,0.06268446121923109,4.800642136301137,0.052262773561290145,0.2919196065623004,3.8788697987002156,1.4315570676173444,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.5,0.17453292519943295,none,,41.219207233883154,30.819897825724333,19.607839466341616,0.09560159941839332,0.47837150127226463,0.0,0.0
4.0,4,60.0,16,4.0,0,3.118642326725632,0.7053121151021351,1.6053433871507317,5.408781953561147,1.143776898835121,0.4103069801706481,0.06381785595855352,4.729726818217408,0.048949589773249605,0.2992724858189839,3.995121744258172,1.4763311575159435,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.5,0.17453292519943295,none,,40.77774109319336,31.237148373717947,19.619582939783463,0.10032715376226826,0.4816430388949473,0.0,0.0
4.0,5,60.0,16,4.0,0,3.074333108029663,0.6782281566943587,1.543367577769776,5.3609465008841255,1.2417308988412787,0.4312016486017572,0.0624217189570092,4.437608011392286,0.058589453213551905,0.3016996347900496,4.132658480107476,1.3748937349146328,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.5,0.17453292519943295,none,,41.38593216162306,29.831901529547366,18.907639557814925,0.09560159941839332,0.48127953471464924,0.0,0.0
4.0,6,60.0,16,4.0,0,3.195438636776807,0.6666710752151492,1.6123909386336028,5.438983173904058,0.7125454258875477,0.4678276559462448,0.06515637336675334,4.691750986065357,0.052395321111337774,0.27704796351741906,3.9124599350885045,1.458897387071965,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,0.5,0.17453292519943295,none,,41.486464393556176,30.007900729445943,18.806366050158136,0.09487459105779716,0.4827335514358415,0.0,0.0
