random_seed,requested_duration_s,sweep_parameter,sweep_nominal_value,sweep_scale,sweep_applied_value,failure_mode,time_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction,cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
7,60.0,altitude_gain,2.0,-4.0,-8.0,ground_impact,8.32,33.13615844840526,8.604991830556147,7.338074167735944,0.0,0.5335463258785943,0.0,0.0,4.0,4,8.32,3,0.75,0,1.6153488065518404,2.0417663793697236,0.6044271567277654,4.53958355844092,-0.004410813689632115,0.10148748068644883,0.06381785595855352,4.180630719342732,0.059804869770326875,0.30111774343157194,3.8014708311273617,1.422012753510219
7,60.0,altitude_gain,2.0,-4.0,-8.0,ground_impact,8.58,31.991804588905012,7.6432594993715535,7.403540165699217,0.0,0.531055900621118,0.0,0.0,4.0,5,8.58,3,0.75,0,1.5475496095112542,2.0252066600545544,0.4292901823191909,4.3456043292051705,-0.005274496329462083,0.10354706826416983,0.0624217189570092,4.63370430103694,0.06530633920429904,0.3086503437550528,3.8808036451019428,1.390010992718187
7,60.0,altitude_gain,2.0,-4.0,-8.0,ground_impact,8.34,33.13653136356571,7.440011975922789,7.364209627218558,0.0,0.536741214057508,0.0,0.0,4.0,6,8.34,3,0.75,0,1.679453334865599,2.030910193640756,0.6269597375597613,4.559018670408508,-0.006477992117233414,0.0968166947466915,0.06515637336675334,4.342580092232875,0.056498397403540186,0.2971682681197388,4.097035513386014,1.428497097086861
7,60.0,altitude_gain,2.0,-4.0,-8.0,ground_impact,8.22,33.2708982419637,9.199193479783064,7.467700034525247,0.0,0.5339805825242718,0.0,0.0,4.0,7,8.22,3,0.75,0,1.541302370998123,2.0640555220100776,0.5964983445122629,4.524288408193547,-0.01088758468921384,0.10893690060822403,0.06848455963844179,4.77649654918772,0.05932978830249504,0.3102436540079281,3.701137032373826,1.4134153665088793
7,60.0,altitude_gain,2.0,-4.0,-8.0,ground_impact,8.56,31.841940197702055,7.590464309703084,7.360286983052678,0.0,0.5217391304347826,0.0,0.0,4.0,8,8.56,3,0.75,0,1.6269968486729276,2.0306488358851467,0.46652449596976725,4.387504469441662,-0.008518393086799459,0.10256678200538764,0.06372026305176655,4.744203806428032,0.06066278485949688,0.2990022401977588,3.930524520257145,1.4696048105776907
7,60.0,altitude_gain,2.0,-4.0,-8.0,ground_impact,8.620000000000001,32.32677503773335,7.295743271097971,7.3450283986437555,0.0,0.5339506172839507,0.0,0.0,4.0,9,8.620000000000001,3,0.75,0,1.7117778840965565,2.0077047324277224,0.495545594477986,4.416130878039891,-0.011303911842984614,0.09514554482873563,0.06338676526046816,4.647285473614353,0.060382690645530375,0.31000871341251496,3.9854069611494864,1.4516963615488432
7,60.0,altitude_gain,2.0,-4.0,-8.0,ground_impact,8.3,34.56831200654283,7.324145730338122,7.321528761895205,0.0,0.5544871794871795,0.0,0.0,4.0,10,8.3,3,0.75,0,2.0279984596054885,1.9902745369790984,0.84293996682101,4.778900068378634,-0.008751862181766101,0.08378302303429325,0.06627358933048151,3.9902737615486155,0.052649665041493834,0.32157783887484226,4.188552246593023,1.4280565011100315
7,60.0,altitude_gain,2.0,-4.0,-8.0,ground_impact,8.22,32.408273616886994,7.48812870735756,7.410180446268973,0.0,0.517799352750809,0.0,0.0,4.0,11,8.22,3,0.75,0,1.5055074458148416,2.071886781338916,0.5446241728759578,4.479420240308656,-0.005736524242338992,0.10918507583013466,0.06592790622121616,4.548088603371248,0.06045684138226205,0.2898650662349152,4.103410585085613,1.4522301712184607
7,60.0,altitude_gain,2.0,-4.0,-8.0,ground_impact,8.22,31.98067775367804,7.881647091905973,7.475428732929091,0.0,0.5145631067961165,0.0,0.0,4.0,12,8.22,3,0.75,0,1.417352356511908,2.086938241384008,0.4495126534650996,4.380542923152861,-0.005349791491544598,0.11671503911908965,0.06527407704739453,4.6863227333968975,0.06815294053044922,0.3030470791558441,3.95091798696667,1.4170355867813895
7,60.0,altitude_gain,2.0,-4.0,-8.0,ground_impact,8.88,32.314902499749124,7.2596976721567135,7.259986749588223,0.0,0.5419161676646707,0.0,0.0,4.0,13,8.88,3,0.75,0,1.985535533881452,1.9606688848878786,0.5177949902977504,4.429006695415168,-0.0016609259249239297,0.08372024045997828,0.06258078308375867,4.731953134052932,0.0507171319312291,0.29305038635192376,3.9447136158850062,1.4656254103938693
7,60.0,altitude_gain,2.0,-4.0,-8.0,ground_impact,8.14,32.76705935107491,8.101885325548707,7.432872310144499,0.0,0.5196078431372549,0.0,0.0,4.0,14,8.14,3,0.75,0,1.460763994446759,2.0846367009521254,0.5629464868336455,4.502880398060997,-0.00949123730805487,0.11188231411049862,0.06492394526159549,4.2685017141274795,0.06515629612812958,0.30190902616838744,3.9624706899223114,1.4287107919669706
7,60.0,altitude_gain,2.0,-4.0,-8.0,ground_impact,8.120000000000001,32.353648347762466,7.187044412084614,7.461177535483882,0.0,0.5147540983606558,0.0,0.0,4.0,15,8.120000000000001,3,0.75,0,1.4509211896023033,2.0916398425909333,0.5455020074506366,4.48325442365575,-0.007105993718455333,0.11429374494673303,0.06680778830559155,4.5652735761584315,0.060716124154179485,0.2821920820822479,4.228529410068424,1.4492631579477007
7,60.0,altitude_gain,2.0,-2.0,-4.0,ground_impact,8.64,32.73611246608486,7.5216855077676135,7.359338823268274,0.0,0.5446153846153846,0.0,0.0,4.0,0,8.64,3,0.75,0,1.8045854948853755,1.9954913038948519,0.5409980016460805,4.462734090434737,-0.0033107634782941,0.10642442893365614,0.065,4.7,0.06,0.3,4.0,1.4288992721907328
7,60.0,altitude_gain,2.0,-2.0,-4.0,ground_impact,8.8,34.138472311210535,7.570820314126404,7.326702723379128,0.0,0.56797583081571,0.0,0.0,4.0,1,8.8,3,0.75,0,2.2960873965547126,1.929326729853321,0.6944007928479498,4.614665276764187,-0.01090130366543309,0.08734399623785977,0.06577673839752203,4.570952355386659,0.0551469765634464,0.33000624819513635,3.9705706040793256,1.4182988268893335
7,60.0,altitude_gain,2.0,-2.0,-4.0,ground_impact,8.4,33.2663343870403,7.316375864547863,7.382749789137672,0.0,0.5379746835443038,0.0,0.0,4.0,2,8.4,3,0.75,0,1.7415294240889063,2.0215608715410225,0.6267823249026403,4.564872046475303,-0.009794847451255924,0.11190542084671318,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.3114338956812706,4.134814580815061,1.44120695245206
