random_seed,requested_duration_s,pitch_attitude_kp_nominal,pitch_attitude_kp_scale,pitch_attitude_kp_applied,pitch_attitude_ki_nominal,pitch_attitude_ki_scale,pitch_attitude_ki_applied,failure_mode,time_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction,cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
7,60.0,0.4,1.0,0.4,0.4,1.0,0.4,none,,38.80135851039823,7.287255229098109,7.421386337110419,0.0,0.4827335514358415,0.0,0.0,4.0,10,60.0,15,3.75,0,3.0740331854265808,0.4843031436960388,1.1579239981634306,5.018817515895465,1.8753435812349195,0.2964161150262505,0.06627358933048151,3.9902737615486155,0.052649665041493834,0.32157783887484226,4.188552246593023,1.4280565011100315
7,60.0,0.4,1.0,0.4,0.4,1.0,0.4,none,,37.854773717861136,7.446587196442676,7.234492818101672,0.0,0.4965467102871683,0.0,0.0,4.0,11,60.0,15,3.75,0,3.0671877524096973,0.44922978838238137,1.0023149927226858,4.852977347498408,1.9077627286949659,0.35041350458596265,0.06592790622121616,4.548088603371248,0.06045684138226205,0.2898650662349152,4.103410585085613,1.4522301712184607
7,60.0,0.4,1.0,0.4,0.4,1.0,0.4,none,,37.555449225124384,7.834011130080722,7.242142221781639,0.0,0.500181752090149,0.0,0.0,4.0,12,60.0,15,3.75,1,3.013962202106787,0.43757654432030757,0.9393682238298577,4.785597518615988,1.9214555320583389,0.35058995988021513,0.06527407704739453,4.6863227333968975,0.06815294053044922,0.3030470791558441,3.95091798696667,1.4170355867813895
7,60.0,0.4,1.0,0.4,0.4,1.0,0.4,none,,37.72523538469275,7.223663580072885,7.490096124247743,0.0,0.4994547437295529,0.0,0.0,4.0,13,60.0,15,3.75,1,2.9182760496714453,0.4419038360228364,0.8703621160832554,4.678362685291551,1.9395554152680736,0.2985145215601927,0.06258078308375867,4.731953134052932,0.0507171319312291,0.29305038635192376,3.9447136158850062,1.4656254103938693
7,60.0,0.4,1.0,0.4,0.4,1.0,0.4,none,,37.91579518211324,8.053852978721169,7.133914184853423,0.0,0.495092693565976,0.0,0.0,4.0,14,60.0,15,3.75,0,3.0866997647360854,0.4459832798492485,1.0212635406960098,4.882802031947029,1.9230574877824735,0.3437733444293715,0.06492394526159549,4.2685017141274795,0.06515629612812958,0.30190902616838744,3.9624706899223114,1.4287107919669706
7,60.0,0.4,1.0,0.4,0.4,1.0,0.4,none,,37.72565005407917,7.150638276395628,7.168602852299648,0.0,0.49581970192657215,0.0,0.0,4.0,15,60.0,15,3.75,0,3.0784455968715716,0.4479752810662787,1.0244451650090314,4.88192416129557,1.9465763683112869,0.36676094250362967,0.06680778830559155,4.5652735761584315,0.060716124154179485,0.2821920820822479,4.228529410068424,1.4492631579477007
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,36.20148013686421,7.991445820835622,8.97852409996108,0.0,0.4714649218466012,0.0,0.0,4.0,0,60.0,15,3.75,1,2.732981489738551,0.35874059699194344,0.678103816599493,4.472949361969413,2.1596109736748934,0.3313641594831984,0.065,4.7,0.06,0.3,4.0,1.4288992721907328
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,36.690804825407774,8.441228014318217,9.149305157068483,0.0,0.48055252635405304,0.0,0.0,4.0,1,60.0,15,3.75,1,2.784357469976124,0.3898727663986873,0.7705454223328653,4.566459429355529,2.1957821837090203,0.29178996904557336,0.06577673839752203,4.570952355386659,0.0551469765634464,0.33000624819513635,3.9705706040793256,1.4182988268893335
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,36.57928347888327,8.012452123510265,8.90159726765029,0.0,0.4830970556161396,0.0,0.0,4.0,2,60.0,15,3.75,1,2.77634572754445,0.3760249788636586,0.7647085183798537,4.594090098987151,2.125281665229962,0.32938718128018846,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.3114338956812706,4.134814580815061,1.44120695245206
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,36.14187670364112,7.8756274329519735,9.052243876275407,0.0,0.4718284260268993,0.0,0.0,4.0,3,60.0,15,3.75,1,2.7241187559955935,0.35067371685148185,0.6767996951655306,4.482855731374994,2.1760808158765355,0.32658960466539605,0.06268446121923109,4.336350357380637,0.05515479194800862,0.2820106664684216,4.17178330111812,1.4246835883790174
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,36.618910495204496,8.433871871863266,9.001697170448905,0.0,0.47946201381315884,0.0,0.0,4.0,4,60.0,15,3.75,1,2.774302377066067,0.37024642375688305,0.7498923376950104,4.57250697127205,2.1348254375274394,0.3211769856520599,0.06381785595855352,4.180630719342732,0.059804869770326875,0.30111774343157194,3.8014708311273617,1.422012753510219
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,35.50281355962546,7.79997564624181,8.9278571351124,0.0,0.4649218466012359,0.0,0.0,4.0,5,60.0,14,3.5,1,2.6916175351528264,0.33460376192212665,0.6155530612301621,4.401043082270237,2.279367737839951,0.3190637578945003,0.0624217189570092,4.63370430103694,0.06530633920429904,0.3086503437550528,3.8808036451019428,1.390010992718187
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,36.6997636170885,8.113798621405047,9.078424675726389,0.0,0.48127953471464924,0.0,0.0,4.0,6,60.0,15,3.75,1,2.7788308114187275,0.37867472578579525,0.7642901155161468,4.582163251715713,2.1088104904220475,0.32605571765851543,0.06515637336675334,4.342580092232875,0.056498397403540186,0.2971682681197388,4.097035513386014,1.428497097086861
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,36.89757862111722,9.012071721737803,9.071925954909522,0.0,0.48237004725554344,0.0,0.0,4.0,7,60.0,15,3.75,1,2.778519161941448,0.392325202121962,0.7788590101348117,4.585947735959356,2.0742713676791804,0.3371209664192543,0.06848455963844179,4.77649654918772,0.05932978830249504,0.3102436540079281,3.701137032373826,1.4134153665088793
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,35.81684024762167,7.844810504488038,8.996109835545772,0.0,0.46673936750272627,0.0,0.0,4.0,8,60.0,14,3.5,1,2.694115901799346,0.3450201508199387,0.636173235412052,4.420246126910364,2.2137583264192804,0.32700829643573304,0.06372026305176655,4.744203806428032,0.06066278485949688,0.2990022401977588,3.930524520257145,1.4696048105776907
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,35.797769642945354,7.980821272152854,9.051934498398667,0.0,0.4681933842239186,0.0,0.0,4.0,9,60.0,14,3.5,1,2.718975468482567,0.34910102472958954,0.6515430484489931,4.437815777082374,2.2501164073419804,0.31180042464673147,0.06338676526046816,4.647285473614353,0.060382690645530375,0.31000871341251496,3.9854069611494864,1.4516963615488432
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,37.50024583590579,8.43714704475153,9.098499361938217,0.0,0.48745910577971646,0.0,0.0,4.0,10,60.0,15,3.75,1,2.951419194202759,0.41840737155331575,0.9349777991828268,4.7662155487163265,2.10343344269588,0.29689522102334087,0.06627358933048151,3.9902737615486155,0.052649665041493834,0.32157783887484226,4.188552246593023,1.4280565011100315
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,36.57047652017937,8.069949086722499,9.058061720095585,0.0,0.47800799709196656,0.0,0.0,4.0,11,60.0,15,3.75,1,2.7433176720773287,0.3720541661759282,0.729114329973496,4.542909733429024,2.0851455392163687,0.35027724963224166,0.06592790622121616,4.548088603371248,0.06045684138226205,0.2898650662349152,4.103410585085613,1.4522301712184607
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,36.15519948230051,7.878557868275012,8.873446384165772,0.0,0.4725554343874955,0.0,0.0,4.0,12,60.0,15,3.75,1,2.722990089797007,0.35419430072504127,0.671486551204974,4.475953114109134,2.1376138904489084,0.34887765703148227,0.06527407704739453,4.6863227333968975,0.06815294053044922,0.3030470791558441,3.95091798696667,1.4170355867813895
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,35.69857601681381,7.917367215670246,9.095136035401211,0.0,0.4641948382406398,0.0,0.0,4.0,13,60.0,14,3.5,1,2.6959837743172157,0.3461333354350495,0.6353942165094149,4.404792109578714,2.277237918385425,0.30316632073836497,0.06258078308375867,4.731953134052932,0.0507171319312291,0.29305038635192376,3.9447136158850062,1.4656254103938693
7,60.0,0.4,1.0,0.4,0.4,2.0,0.8,none,,36.687447594898885,8.00062849571065,8.96061355887425,0.0,0.4820065430752454,0.0,0.0,4.0,14,60.0,15,3.75,1,2.7643068217896722,0.37575073178295904,0.7566184583101715,4.583753596818885,2.085883768383039,0.34064029407367913,0.06492394526159549,4.2685017141274795,0.06515629612812958,0.30190902616838744,3.9624706899223114,1.4287107919669706
